Word,Sentence,Correct Sense,Definition,
Headline,The singer will headline the show.,Feature Act,Main performer,
Headway,The project made good headway.,Progress,Forward movement,
Headway,The boat struggled to make headway.,Advancement,Movement forward,
Healing,The healing process takes time.,Recovery,Becoming healthy,
Healing,The music has a healing effect.,Soothing,Restorative influence,
Heap,A heap of sand lay nearby.,Pile,Collection in a mound.,
Heap,Java uses a heap.,Memory Region,Dynamic storage area.,
Heap,A heap of sand lay on the ground.,Pile,Mass of objects,
Heap,He heaped praise on the team.,Accumulate,Add in large amount,
Heave,They heaved the box onto the truck.,Lift With Effort,To raise something heavy.,
Heave,The ocean heaved during the storm.,Rise And Fall,To move up and down.,
Hedge,The hedge surrounds the garden.,Shrub Barrier,Row of bushes,
Hedge,Investors hedge against loss.,Protect,Reduce risk,
Herald,The bell heralds the beginning of class.,Signal,Announce,
Herald,She was heralded as a genius.,Praise,Acclaim,
Hide,The rabbit hid behind the bush.,Conceal Oneself,To keep out of sight.,
Hide,The cabin was hidden in the forest.,Conceal Object,To place out of view.,
Hide,The boots are made of hide.,Animal Skin,Skin removed from an animal.,
Hinge,The door hinge squeaked.,Joint,A movable connector.,
Hinge,Success may hinge on effort.,Depend,To rely upon something.,
Hinge,The door hinge is loose.,Joint,Pivot mechanism,
Hinge,Success hinges on effort.,Depend,Rely on,
Hint,He gave a hint about the answer.,Clue,Indirect suggestion,
Hint,There is a hint of bitterness.,Trace,Small amount,
Hitch,The trip went without a hitch.,Problem,Obstacle,
Hitch,He hitched a ride home.,Travel,Catch a ride,
Hollow,The tree trunk is hollow.,Empty Inside,Having space inside,
Hollow,She felt a hollow victory.,Meaningless,Lacking substance,
Home,They returned home.,Residence,Place where one lives.,
Home,The team played a home game.,Local Venue,A team's own location.,
Horn,The car horn is loud.,Signaling Device,Device producing warning sounds.,
Horn,The deer has large horns.,Animal Structure,Hard growth on an animal's head.,
Horn,She plays the French horn.,Musical Instrument,A brass wind instrument.,
Host,The host welcomed the guests.,Organizer,A person receiving visitors.,
Host,The mosquito is a host for parasites.,Biological Carrier,An organism supporting another.,
Hover,The drone can hover in place.,Float,Stay in air,
Hover,She hovered near the door.,Linger,Stay close,
Howl,Wolves howl at night.,Sound,Long cry,
Howl,The wind began to howl.,Roar,Loud rushing sound,
Hub,The airport is a transport hub.,Center,Important focal point.,
Hub,The USB hub adds ports.,Connector Device,Device linking peripherals.,
Hub,The airport is a travel hub.,Center,Central point,
Hub,The wheel hub is damaged.,Mechanical Part,Center of wheel,
Hubcap,The hubcap fell off the wheel.,Wheel Cover,Decorative wheel component.,
Hubcap,He replaced the damaged hubcap.,Vehicle Part,Cover protecting wheel hub.,
Humble,He is a humble person.,Modest,Not arrogant,
Humble,They humbled the champion team.,Defeat,Bring low,
Hunt,Hunters hunt deer.,Pursue Animals,To search for game.,
Hunt,I'm hunting for my keys.,Search,To look for something.,
Hurdle,He jumped over the hurdle.,Obstacle,Barrier,
Hurdle,Funding is a major hurdle.,Challenge,Difficulty,
Hurt,His ankle hurt after running.,Feel Pain,To experience discomfort.,
Hurt,Her words hurt him.,Cause Emotional Pain,To upset emotionally.,
Hustle,He had to hustle to finish work.,Rush,Move quickly,
Hustle,Street hustle earns income.,Effort,Informal work activity,
Hybrid,The car is a hybrid model.,Combination,Mixed system,
Hybrid,The plant is a hybrid species.,Biological Mix,Crossbreed,
Hygiene,Good hygiene prevents illness.,Cleanliness,Health practices,
Hygiene,Dental hygiene is important.,Care Routine,Cleanliness practice,
Ignite,The match can ignite the gas.,Set On Fire,Cause combustion,
Ignite,The speech ignited public interest.,Stimulate,Trigger strong reaction,
Illusion,The mirror creates an optical illusion.,False Perception,Misleading appearance,
Illusion,He lives under an illusion of success.,Misconception,Mistaken belief,
Image,The image was displayed on the screen.,Picture,Visual representation,
Image,She wants to project a positive image.,Impression,Public perception,
Impact,The impact of the crash was severe.,Collision Effect,Forceful contact,
Impact,The policy will impact education.,Influence,Affect outcome,
Impose,The government may impose taxes.,Enforce,Establish authority,
Impose,Don’t impose your views on others.,Force,Put unfair pressure,
Impulse,He acted on impulse.,Sudden Urge,Quick decision,
Impulse,Electrical impulse travels through nerves.,Signal,Biological/physical signal,
Incline,The road begins to incline.,Slope Upward,Rise in angle,
Incline,She is inclined to agree.,Tend,Be disposed,
Income,His income increased this year.,Earnings,Money received,
Income,Taxable income must be reported.,Revenue,Financial inflow,
Incubator,The eggs stayed in the incubator.,Warming Device,Equipment for hatching eggs.,
Incubator,The startup joined an incubator.,Business Program,Organization supporting new companies.,
Index,The book has an index.,Reference List,Alphabetical topic guide.,
Index,Stock indexes rose today.,Measurement Indicator,A statistical measure.,
Induce,The drug can induce sleep.,Cause,Bring about,
Induce,They tried to induce labor.,Stimulate,Initiate biological process,
Inflation,Inflation increased prices.,Economic Growth Of Prices,Rise in general price levels.,
Inflation,Balloon inflation took seconds.,Filling With Air,Expansion using gas.,
Influence,She has great influence in politics.,Power,Ability to affect,
Influence,Social media influences behavior.,Affect,Shape decisions,
Inherit,She will inherit property.,Receive,Obtain after death,
Inherit,Traits can be inherited genetically.,Pass Down,Receive biologically,
Inherit,She will inherit property.,Receive,Obtain after death,
Inherit,Traits can be inherited genetically.,Pass Down,Receive biologically,
Inhibit,Fear can inhibit action.,Restrain,Prevent progress,
Inhibit,The drug inhibits growth.,Block,Slow biological process,
Inhibit,Fear can inhibit action.,Restrain,Prevent progress,
Inhibit,The drug inhibits growth.,Block,Slow biological process,
Initiate,They initiate the process.,Start,Begin something,
Initiate,She was initiated into the group.,Introduce,Formally admit,
Initiate,They initiate the process.,Start,Begin something,
Initiate,She was initiated into the group.,Introduce,Formally admit,
Inject,The doctor will inject medicine.,Insert Fluid,Put into body,
Inject,He injected humor into the speech.,Add,Include forcefully,
Inject,The doctor will inject medicine.,Insert Fluid,Put into body,
Inject,He injected humor into the speech.,Add,Include forcefully,
Injure,He injured his leg.,Harm,Cause physical damage,
Injure,The statement may injure reputation.,Damage,Harm reputation,
Injure,He injured his leg.,Harm,Cause physical damage,
Injure,The statement may injure reputation.,Damage,Harm reputation,
Innovate,Companies innovate constantly.,Create New,Introduce new ideas,
Innovate,She innovated a new method.,Improve,Develop new system,
Innovate,Companies innovate constantly.,Create New,Introduce new ideas,
Innovate,She innovated a new method.,Improve,Develop new system,
Input,Enter your input into the system.,Data,Information entered,
Input,We need user input for decisions.,Contribution,Feedback,
Input,Enter your input into the system.,Data,Information entered,
Input,We need user input for decisions.,Contribution,Feedback,
Insight,She has deep insight into psychology.,Understanding,Clear perception,
Insight,The report gives insight into trends.,Analysis,Meaningful interpretation,
Insight,She has deep insight into psychology.,Understanding,Clear perception,
Insight,The report gives insight into trends.,Analysis,Meaningful interpretation,
Insist,He will insist on fairness.,Demand,Strongly require,
Insist,She insisted on paying.,Persist,Refuse to give up,
Insist,He will insist on fairness.,Demand,Strongly require,
Insist,She insisted on paying.,Persist,Refuse to give up,
Inspect,The officer will inspect the site.,Examine,Carefully check,
Inspect,Inspect the document for errors.,Review,Analyze closely,
Inspect,The officer will inspect the site.,Examine,Carefully check,
Inspect,Inspect the document for errors.,Review,Analyze closely,
Install,Install the software update.,Set Up,Put in place,
Install,They installed a new leader.,Appoint,Formally place in position,
Instance,"In this instance, it worked.",Case,Example situation,
Instance,He is an instance of success.,Example,Representative case,
Instrument,The instrument measures temperature.,Device,Measuring tool,
Instrument,She plays a musical instrument.,Tool,Device for music,
Intake,Monitor your water intake.,Consumption,Amount taken in.,
Intake,The engine intake is blocked.,Air Entry,Opening for incoming air.,
Integrate,Students integrate into society.,Combine,Become part of,
Integrate,The system integrates data sources.,Merge,Combine systems,
Intensity,The intensity of the light increased.,Strength,Degree of force,
Intensity,Emotional intensity was high.,Severity,Level of feeling,
Interact,Students interact in class.,Communicate,Engage with others,
Interact,Chemicals interact differently.,Affect Each Other,Mutual reaction,
Interest,Reading is one of my interests.,Hobby,Something that attracts attention.,
Interest,The bank pays interest.,Financial Return,Money earned on investments.,
Interest,She has interest in science.,Curiosity,Attention or desire,
Interest,The bank charges interest.,Finance Fee,Cost of borrowing,
Internal,Internal organs are vital.,Inside,Within body/system,
Internal,Internal conflict arose.,Within Group,Occurring inside,
Interpret,She interprets the poem.,Explain,Give meaning,
Interpret,The machine interprets data.,Process,Analyze meaning,
Interrupt,Please don’t interrupt me.,Break In,Stop flow,
Interrupt,Signal interruption occurred.,Disrupt,Break continuity,
Iron,"The structural beams were made of solid, reinforced iron.",Chemical Element,"A strong, hard magnetic silvery-gray metal used for structural engineering",
Iron,She used a hot steam iron to smooth out her wrinkled shirt.,Appliance,A handheld appliance with a flat heated bottom surface used to smooth fabric,
Iron,The iron is hot.,Appliance,Device used for pressing clothes.,
Iron,Iron is a strong metal.,Element,A metallic chemical element.,
Issue,The magazine issue arrived today.,Edition,A published release.,
Issue,Climate change is an important issue.,Topic/Problem,A matter of concern.,
Issue,The bank issued a new card.,Distribute,To provide officially.,
Itinerary,Follow the travel itinerary.,Travel Plan,Schedule of a journey.,
Itinerary,The conference itinerary changed.,Event Schedule,Planned sequence of activities.,
Jack,Use the jack to lift the car.,Lifting Device,A tool used to raise heavy objects.,
Jack,He won a jack in the card game.,Playing Card,A face card ranked between ten and queen.,
